### name | cross-section | sum of weights | efficiency
data|1|1|1
Wplusenu|11500.4632|473389396815|1
Wplusmunu|11500.4632|446507925520|1
Wplustaunu|11500.4632|670928468875|1
Wminusenu|8579.63498|247538642447|1
Wminusmunu|8579.63498|264338188182|1
Wminustaunu|8579.63498|165195850954|1
Wmu0_70CVetoBVeto|15317.171239|16619290.3298|1
Wmu0_70CFilterBVeto|2431.204019|5643599.11526|1
Wmu0_70BFilter|828.465384|10403012.6599|1
Wmu70_140CVetoBVeto|617.439593|5418398.88082|1
Wmu70_140CFilterBVeto|225.006704|3693885.78953|1
Wmu70_140BFilter|76.213179|7990084.35926|1
Wmu140_280CVetoBVeto|198.635592|6155495.28527|1
Wmu140_280CFilterBVeto|96.233222|5260811.17463|1
Wmu140_280BFilter|36.348467|18222434.0789|1
Wmu280_500CVetoBVeto|38.299835|4325283.67358|1
Wmu280_500CFilterBVeto|22.395647|2783968.68238|1
Wmu280_500BFilter|8.768196|2835707.22044|1
Wmu500_1000|14.558821|5941704.99235|1
Wmu1000|1.198003|3882898.99675|1
We0_70CVetoBVeto|15324.216356|16615214.8608|1
We0_70CFilterBVeto|2430.656322|5647044.71225|1
We0_70BFilter|832.203758|10407897.8772|1
We70_140CVetoBVeto|618.6882|5359689.22316|1
We70_140CFilterBVeto|223.63946|3714792.41865|1
We70_140BFilter|94.875534|3980401.78673|1
We140_280CVetoBVeto|197.343129|6159276.028|1
We140_280CFilterBVeto|96.277568|5263243.42582|1
We140_280BFilter|35.917295|18298138.5816|1
We280_500CVetoBVeto|38.340533|4312357.01458|1
We280_500CFilterBVeto|22.36999|2778654.28759|1
We280_500BFilter|9.586345|2835314.68179|1
We500_1000|14.598599|6003269.52809|1
We1000|1.197518|4075236.23897|1
Wtau0_70CVetoBVeto|15324.887336|16726425.0218|1
Wtau0_70CFilterBVeto|2443.425881|5671521.55269|1
Wtau0_70BFilter|837.531038|10498770.1084|1
Wtau70_140CVetoBVeto|620.166885|5427023.47527|1
Wtau70_140CFilterBVeto|222.595303|3719117.16117|1
Wtau70_140BFilter|95.365521|3969118.20687|1
Wtau140_280CVetoBVeto|197.370776|6166514.76606|1
Wtau140_280CFilterBVeto|93.808553|5184365.13393|1
Wtau140_280BFilter|34.639523|7291603.73991|1
Wtau280_500CVetoBVeto|38.34009|4322848.66983|1
Wtau280_500CFilterBVeto|22.268425|2772305.06916|1
Wtau280_500BFilter|9.490847|2830341.62344|1
Wtau500_1000|14.60345|5389084.10064|1
Wtau1000|1.197324|4057477.95297|1
Z_ee|1950.5295|150277594200|1
Z_mumu|1950.6321|147334691090|1
Z_tautau|1950.6321|56171652547.3|1
Zmumu0_70CVetoBVeto|1588.474174|5319367.44387|1
Zmumu0_70CFilterBVeto|219.4826028|2834664.0856|1
Zmumu0_70BFilter|127.1303743|4078710.85229|1
Zmumu70_140CVetoBVeto|73.36940289|2143575.01278|1
Zmumu70_140CFilterBVeto|20.90606833|722736.703003|1
Zmumu70_140BFilter|12.50542972|2053470.59226|1
Zmumu140_280CVetoBVeto|23.43735064|2940060.231|1
Zmumu140_280CFilterBVeto|9.145130781|1961708.95573|1
Zmumu140_280BFilter|6.076989874|8276965.60895|1
Zmumu280_500CVetoBVeto|4.657367095|1705022.00352|1
Zmumu280_500CFilterBVeto|2.214827532|906361.047826|1
Zmumu280_500BFilter|1.468357812|1854208.83636|1
Zmumu500_1000|1.74260121|2944710.97814|1
Zmumu1000|0.14392476|1007977.7298|1
Zee0_70CVetoBVeto|1587.021595|5307644.52827|1
Zee0_70CFilterBVeto|219.9958116|2839137.81561|1
Zee0_70BFilter|127.0857614|4053053.52848|1
Zee70_140CVetoBVeto|74.90381742|2149611.09271|1
Zee70_140CFilterBVeto|20.3159891|715162.089738|1
Zee70_140BFilter|12.73880801|2043192.28295|1
Zee140_280CVetoBVeto|24.44184978|2966342.61469|1
Zee140_280CFilterBVeto|9.237605979|1949820.29674|1
Zee140_280BFilter|6.081254464|8328729.48708|1
Zee280_500CVetoBVeto|4.796836771|1665734.2346|1
Zee280_500CFilterBVeto|2.249186051|908261.497964|1
Zee280_500BFilter|1.49219843|1854184.55614|1
Zee500_1000|1.76415092|2942740.91362|1
Zee1000|0.145046125|1004312.18015|1
Ztautau0_70CVetoBVeto|1612.531483|5322698.33479|1
Ztautau0_70CFilterBVeto|211.7088872|2848153.01809|1
Ztautau0_70BFilter|127.0915597|4060541.5209|1
Ztautau70_140CVetoBVeto|74.70740605|2168444.60741|1
Ztautau70_140CFilterBVeto|20.50813626|717613.996532|1
Ztautau70_140BFilter|11.96510571|2071490.99782|1
Ztautau140_280CVetoBVeto|24.57266372|2969289.71879|1
Ztautau140_280CFilterBVeto|9.301821784|1983172.64602|1
Ztautau140_280BFilter|6.192971739|3430451.22731|1
Ztautau280_500CVetoBVeto|4.759698353|1613067.78257|1
Ztautau280_500CFilterBVeto|2.236223236|905387.206237|1
Ztautau280_500BFilter|1.491840072|1853029.9701|1
Ztautauu500_1000|1.76249325|2725664.32001|1
Ztautau1000|0.144568326|997974.838867|1
WWlvlv|10.636|63036317.0092|1
WZlvll|4.5105|44460904.1913|1
WZlvvv|2.7781|2729482.37882|1
ZZllll|1.2668|4969006.30392|1
